0	1	2	3	4	5	6	7	8	9	10	11	12	x	CL	Final Timeseries_G94C	Final Timeseries_G94D	Final Timeseries_ACME1	Final Timeseries_S362	Final Timeseries_G300	Final Timeseries_S5AS	Final Timeseries_S5A	Final Timeseries_G301	Final Timeseries_G310	Final Timeseries_G251	Final Timeseries_S6	Final Timeseries_G338
40	0	0	0	0	0	0	111.7991795	0	0	231.396	120.4005714	0	x	79	0	0	0	0	0	0	112.54915	0	0	187.7635	113.111	0
40.999	0	0	0	0	0	0	111.7991795	0	0	231.396	120.4005714	0	x	80	0	0	0	0	0	0	110.054425	0	0	189.2838571	110.2425714	0
41	0	0	0	0	0	0	109.2703846	0	0	235.338	121.0844286	0	x	81	0	0	0	0	0	0	107.5597	0	0	190.8042143	107.3741429	0
41.999	0	0	0	0	0	0	109.2703846	0	0	235.338	121.0844286	0	x	82	0	0	0	0	0	0	105.064975	0	0	192.3245714	104.5057143	0
42	0	0	0	0	0	0	0	0	0	239.28	121.7682857	0	x	83	0	0	0	0	0	0	102.57025	0	0	193.8449286	101.6372857	0
42.999	0	0	0	0	0	0	0	0	0	239.28	121.7682857	0	x	84	0	0	0	0	0	0	100.075525	0	0	195.3652857	98.76885714	0
43	0	0	0	0	0	0	104.2127949	0	0	243.222	0	0	x	85	0	0	0	0	0	0	97.5808	0	0	196.8856429	95.90042857	0
43.999	0	0	0	0	0	0	104.2127949	0	0	243.222	0	0	x	86	0	0	0	0	0	0	95.086075	0	0	198.406	93.032	0
44	0	0	0	0	0	0	101.684	0	0	247.164	123.136	0	x	87	0	0	0	0	0	0	92.59135	0	0	192.778	90.16357143	0
44.999	0	0	0	0	0	0	101.684	0	0	247.164	123.136	0	x	88	0	0	0	0	0	0	90.096625	0	0	187.15	87.29514286	0
45	0	0	0	0	0	0	110.0982222	0	0	242.6447857	123.4950714	0	x	89	0	0	0	0	0	0	87.6019	0	0	181.522	84.42671429	0
45.999	0	0	0	0	0	0	110.0982222	0	0	242.6447857	123.4950714	0	x	90	0	0	0	0	0	0	85.107175	0	0	175.894	81.55828571	0
46	0	0	0	0	0	0	118.5124444	0	0	238.1255714	123.8541429	0	x	91	0	0	0	0	0	0	82.61245	0	0	170.266	78.68985714	0
