0	1	2	3	4	5	6	7	8	9	10	11	12	x	SO4	Final Timeseries_G94C	Final Timeseries_G94D	Final Timeseries_ACME1	Final Timeseries_S362	Final Timeseries_G300	Final Timeseries_S5AS	Final Timeseries_S5A	Final Timeseries_G301	Final Timeseries_G310	Final Timeseries_G251	Final Timeseries_S6	Final Timeseries_G338
39.999	0	0	0	0	0	0	0	0	0	96.91335714	0	0	x	78	0	0	0	0	0	0	50.38071591	0	0	53.57842857	39.81534091	0
40	0	0	0	0	0	0	80.53932955	0	0	98.77728571	54.75020455	0	x	79	0	0	0	0	0	0	49.58706818	0	0	52.9065	39.42231818	0
40.999	0	0	0	0	0	0	80.53932955	0	0	98.77728571	54.75020455	0	x	80	0	0	0	0	0	0	48.79342045	0	0	52.23457143	39.02929545	0
41	0	0	0	0	0	0	79.74568182	0	0	100.6412143	54.35718182	0	x	81	0	0	0	0	0	0	47.99977273	0	0	51.56264286	38.63627273	0
41.999	0	0	0	0	0	0	79.74568182	0	0	100.6412143	54.35718182	0	x	82	0	0	0	0	0	0	47.206125	0	0	50.89071429	38.24325	0
42	0	0	0	0	0	0	0	0	0	102.5051429	53.96415909	0	x	83	0	0	0	0	0	0	46.41247727	0	0	50.21878571	37.85022727	0
42.999	0	0	0	0	0	0	0	0	0	102.5051429	53.96415909	0	x	84	0	0	0	0	0	0	45.61882955	0	0	49.54685714	37.45720455	0
43	0	0	0	0	0	0	78.15838636	0	0	104.3690714	0	0	x	85	0	0	0	0	0	0	44.82518182	0	0	48.87492857	37.06418182	0
43.999	0	0	0	0	0	0	78.15838636	0	0	104.3690714	0	0	x	86	0	0	0	0	0	0	44.03153409	0	0	48.203	36.67115909	0
44	0	0	0	0	0	0	77.36473864	0	0	106.233	53.17811364	0	x	87	0	0	0	0	0	0	43.23788636	0	0	48.47778571	36.27813636	0
44.999	0	0	0	0	0	0	77.36473864	0	0	106.233	53.17811364	0	x	88	0	0	0	0	0	0	42.44423864	0	0	48.75257143	35.88511364	0
45	0	0	0	0	0	0	76.57109091	0	0	103.0184286	52.78509091	0	x	89	0	0	0	0	0	0	41.65059091	0	0	49.02735714	35.49209091	0
45.999	0	0	0	0	0	0	76.57109091	0	0	103.0184286	52.78509091	0	x	90	0	0	0	0	0	0	40.85694318	0	0	49.30214286	35.09906818	0
46	0	0	0	0	0	0	75.77744318	0	0	99.80385714	52.39206818	0	x	91	0	0	0	0	0	0	40.06329545	0	0	49.57692857	34.70604545	0
46.999	0	0	0	0	0	0	75.77744318	0	0	99.80385714	52.39206818	0	x	92	0	0	0	0	0	0	39.26964773	0	0	49.85171429	34.31302273	0
47	0	0	0	0	0	0	0	0	0	96.58928571	51.99904545	0	x	93	0	0	0	0	0	0	38.476	0	0	50.1265	33.92	0
47.999	0	0	0	0	0	0	0	0	0	96.58928571	51.99904545	0	x	94	0	0	0	0	0	0	38.35885165	0	0	50.40128571	33.93015934	0
48	0	0	0	0	0	0	74.19014773	0	0	93.37471429	51.60602273	0	x	95	0	0	0	0	0	0	38.2417033	0	0	50.67607143	33.94031868	0
48.999	0	0	0	0	0	0	74.19014773	0	0	93.37471429	51.60602273	0	x	96	0	0	0	0	0	0	38.12455495	0	0	50.95085714	33.95047802	0
49	0	0	0	0	0	0	73.3965	0	0	90.16014286	51.213	0	x	97	0	0	0	0	0	0	0	0	0	51.22564286	33.96063736	0
49.999	0	0	0	0	0	0	73.3965	0	0	90.16014286	51.213	0	x	98	0	0	0	0	0	0	0	0	0	51.50042857	33.9707967	0
50	0	0	0	0	0	0	72.60285227	0	0	86.94557143	50.81997727	0	x	99	0	0	0	0	0	0	0	0	0	51.77521429	33.98095604	0
50.999	0	0	0	0	0	0	72.60285227	0	0	86.94557143	50.81997727	0	x	100	0	0	0	0	0	0	0	0	0	52.05	33.99111538	0
