0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	x	******	******	DATE	TIME	S39_S	G94A_C	G94B_C	G94C_C	ACME2	ACME1	S362_P	G300_S	S5AS_S	S5A_P	G301_S	G310_P	G251_P	S6	G338_C	S10E_C	S10D_C	S10C_C	S10A_C				
40.999	0	0	0	0	0	0	0	0	0	1206367.256	0	0	27335.58857	1305908.629	0	0	0	0	0	x	******	******	3/21/1995	80	0	0	0	0	0	0	0	0	0	932788.7322	0	0	208548.5461	887005.964	0	0	0	0	0
41	0	0	0	0	0	0	0	0	0	1446679.693	0	0	43248.11592	1130733.82	0	0	0	0	0	x	******	******	3/22/1995	81	0	0	0	0	0	0	0	0	0	1641334.136	0	0	207819.4666	712369.4016	0	0	0	0	0
41.999	0	0	0	0	0	0	0	0	0	1446679.693	0	0	43248.11592	1130733.82	0	0	0	0	0	x	******	******	3/23/1995	82	0	0	0	0	0	0	0	0	0	1323308.674	0	0	167600.2112	813021.5195	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0	0	0	0	130289.9341	953601.7504	0	0	0	0	0	x	******	******	3/24/1995	83	0	0	0	0	0	0	0	0	0	1746155.219	0	0	168116.4386	914138.4868	0	0	0	0	0
42.999	0	0	0	0	0	0	0	0	0	0	0	0	130289.9341	953601.7504	0	0	0	0	0	x	******	******	3/25/1995	84	0	0	0	0	0	0	0	0	0	1365169.582	0	0	290484.3611	949564.9007	0	0	0	0	0
43	0	0	0	0	0	0	0	0	0	1874485.446	0	0	265928.0823	0	0	0	0	0	0	x	******	******	3/26/1995	85	0	0	0	0	0	0	0	0	0	1143049.881	0	0	249523.7933	977627.1222	0	0	0	0	0
43.999	0	0	0	0	0	0	0	0	0	1874485.446	0	0	265928.0823	0	0	0	0	0	0	x	******	******	3/27/1995	86	0	0	0	0	0	0	0	0	0	1423126.51	0	0	330791.6932	911349.3907	0	0	0	0	0
44	0	0	0	0	0	0	0	0	0	2107162.12	0	0	334177.7538	1448935.435	0	0	0	0	0	x	******	******	3/28/1995	87	0	0	0	0	0	0	0	0	0	1472566.909	0	0	330799.0329	839664.7272	0	0	0	0	0
44.999	0	0	0	0	0	0	0	0	0	2107162.12	0	0	334177.7538	1448935.435	0	0	0	0	0	x	******	******	3/29/1995	88	0	0	0	0	0	0	0	0	0	1464065.059	0	0	289774.8542	981419.3143	0	0	0	0	0
45	0	0	0	0	0	0	0	0	0	2362543.015	0	0	329066.8575	1592109.036	0	0	0	0	0	x	******	******	3/30/1995	89	0	0	0	0	0	0	0	0	0	1500678.062	0	0	167240.5646	1043268.744	0	0	0	0	0
45.999	0	0	0	0	0	0	0	0	0	2362543.015	0	0	329066.8575	1592109.036	0	0	0	0	0	x	******	******	3/31/1995	90	0	0	0	0	0	0	0	0	0	1253608.184	0	0	95497.18327	986361.3969	0	0	0	0	0
46	0	0	0	0	0	0	0	0	0	1367929.319	0	0	295142.6409	1132006.039	0	0	0	0	0	x	******	******	4/1/1995	91	0	0	0	0	0	0	0	0	0	1228070.828	0	0	263814.2411	1087967.679	0	0	0	0	0
46.999	0	0	0	0	0	0	0	0	0	1367929.319	0	0	295142.6409	1132006.039	0	0	0	0	0	x	******	******	4/2/1995	92	0	0	0	0	0	0	0	0	0	1084701.501	0	0	390001.268	1321126.329	0	0	0	0	0
47	0	0	0	0	0	0	0	0	0	0	0	0	192508.7968	613258.6262	0	0	0	0	0	x	******	******	4/3/1995	93	0	0	0	0	0	0	0	0	0	1018688	0	0	503172.513	1336270.631	0	0	0	0	0
47.999	0	0	0	0	0	0	0	0	0	0	0	0	192508.7968	613258.6262	0	0	0	0	0	x	******	******	4/4/1995	94	0	0	0	0	0	0	0	0	0	429148.9233	0	0	359044.7476	844582.3441	0	0	0	0	0
48	0	0	0	0	0	0	0	0	0	1948467.444	0	0	127833.5723	1260671.447	0	0	0	0	0	x	******	******	4/5/1995	95	0	0	0	0	0	0	0	0	0	828611.0989	0	0	601353.5896	616096.6539	0	0	0	0	0
48.999	0	0	0	0	0	0	0	0	0	1948467.444	0	0	127833.5723	1260671.447	0	0	0	0	0	x	******	******	4/6/1995	96	0	0	0	0	0	0	0	0	0	426976.3642	0	0	680196.9332	1469242.012	0	0	0	0	0
49	0	0	0	0	0	0	0	0	0	1924410.267	0	0	162110.0956	1280439.778	0	0	0	0	0	x	******	******	4/7/1995	97	0	0	0	0	0	0	0	0	0	0	0	0	558702.4382	750707.2404	0	0	0	0	0
49.999	0	0	0	0	0	0	0	0	0	1924410.267	0	0	162110.0956	1280439.778	0	0	0	0	0	x	******	******	4/8/1995	98	0	0	0	0	0	0	0	0	0	0	0	0	580166.2454	1305590.574	0	0	0	0	0
