0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	x	******	******	DATE	TIME	S39_S	G94A_C	G94B_C	G94C_C	ACME2	ACME1	S362_P	G300_S	S5AS_S	S5A_P	G301_S	G310_P	G251_P	S6	G338_C	S10E_C	S10D_C	S10C_C	S10A_C
46	1536522.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	******	******	4/1/1995	91	1540730.95	0	0	0	0	0	0	0	1104885.749	0	0	0	0	0	0	102046.666	0	0	0
46.999	1536522.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	******	******	4/2/1995	92	1545599.635	0	0	0	0	0	0	0	1123697.469	0	0	0	0	0	0	102046.666	0	0	0
47	1727820.582	0	0	0	0	0	0	0	534745.5704	0	0	0	0	0	0	0	0	0	0	x	******	******	4/3/1995	93	1541856.375	0	0	0	0	0	0	0	1187626.488	0	0	0	0	0	0	102046.666	0	0	0
47.999	1727820.582	0	0	0	0	0	0	0	534745.5704	0	0	0	0	0	0	0	0	0	0	x	******	******	4/4/1995	94	1537305.744	0	0	0	0	0	0	0	1217694.901	0	0	0	0	0	0	478305.5192	0	0	0
48	1693177.072	0	0	0	0	0	0	0	835449.2776	0	0	0	0	0	0	0	0	0	0	x	******	******	4/5/1995	95	1537550.402	0	0	0	0	0	0	0	2150789.455	0	0	0	0	0	0	663388.9592	0	0	0
48.999	1693177.072	0	0	0	0	0	0	0	835449.2776	0	0	0	0	0	0	0	0	0	0	x	******	******	4/6/1995	96	1108274.256	0	0	0	0	0	0	0	2344572.918	0	0	0	0	0	0	631143.0935	0	0	0
49	1381361.019	0	0	0	0	0	0	0	798745.7512	0	0	0	0	0	0	0	0	0	0	x	******	******	4/7/1995	97	1368198.442	0	0	0	0	0	0	0	1914707.148	0	0	0	0	0	0	607411.3107	0	0	0
49.999	1381361.019	0	0	0	0	0	0	0	798745.7512	0	0	0	0	0	0	0	0	0	0	x	******	******	4/8/1995	98	1362767.045	0	0	0	0	0	0	0	1970721.495	0	0	0	0	0	0	597527.1455	0	0	0
50	1034216.415	0	0	0	0	0	0	0	779620.8702	0	0	0	0	0	0	0	0	0	0	x	******	******	4/9/1995	99	1367219.812	0	0	0	0	0	0	0	1990081.247	0	0	0	0	0	0	552412.2924	0	0	0
50.999	1034216.415	0	0	0	0	0	0	0	779620.8702	0	0	0	0	0	0	0	0	0	0	x	******	******	4/10/1995	100	1358510.003	0	0	0	0	0	0	0	2126030.111	0	0	0	0	0	0	250480.4044	0	0	0
51	394387.9779	0	0	0	0	0	0	0	741307.4972	0	0	0	0	0	0	0	0	0	0	x	******	******	4/11/1995	101	1349384.276	0	0	0	0	0	0	0	2322446.089	0	0	0	0	0	0	0	0	0	0
51.999	394387.9779	0	0	0	0	0	0	0	741307.4972	0	0	0	0	0	0	0	0	0	0	x	******	******	4/12/1995	102	1346008.002	0	0	0	0	0	0	0	2328934.407	0	0	0	0	0	0	0	0	0	0
52	1264806.16	0	0	0	0	0	0	0	721380.1393	0	0	0	0	0	0	0	0	0	0	x	******	******	4/13/1995	103	1411453.898	0	0	0	0	0	0	0	2143002.005	0	0	0	0	0	0	0	0	0	0
52.999	1264806.16	0	0	0	0	0	0	0	721380.1393	0	0	0	0	0	0	0	0	0	0	x	******	******	4/14/1995	104	1529868.154	0	0	0	0	0	0	0	2062037.481	0	0	0	0	0	0	0	0	0	0
53	1389190.061	0	0	0	0	0	0	0	1110532.446	0	0	0	0	0	0	529390.0165	0	0	0	x	******	******	4/15/1995	105	1531409.497	0	0	0	0	0	0	0	1979874.134	0	0	0	0	0	0	0	0	0	0
53.999	1389190.061	0	0	0	0	0	0	0	1110532.446	0	0	0	0	0	0	529390.0165	0	0	0	x	******	******	4/16/1995	106	1534663.442	0	0	0	0	0	0	0	1829182.207	0	0	0	0	0	0	0	0	0	0
54	1486955.219	0	0	0	0	0	0	0	1334660.785	0	0	0	0	0	0	1007646.604	0	0	0	x	******	******	4/17/1995	107	1525855.77	0	0	0	0	0	0	0	1849222.107	0	0	0	0	0	0	0	0	0	0
54.999	1486955.219	0	0	0	0	0	0	0	1334660.785	0	0	0	0	0	0	1007646.604	0	0	0	x	******	******	4/18/1995	108	1516974.701	0	0	0	0	0	0	0	1427385.998	0	0	0	0	0	0	0	0	0	0
55	1495909.686	0	0	0	0	0	0	0	1297374.973	0	0	0	0	0	0	429374.0082	0	0	0	x	******	******	4/19/1995	109	716039.2649	0	0	0	0	0	0	0	384794.9552	0	0	0	0	0	0	0	0	0	0
55.999	1495909.686	0	0	0	0	0	0	0	1297374.973	0	0	0	0	0	0	429374.0082	0	0	0	x	******	******	4/20/1995	110	540570.8668	0	0	0	0	0	0	0	351475.0429	0	0	0	0	0	0	0	0	0	0
56	1529036.319	0	0	0	0	0	0	0	1323665.874	0	0	0	0	0	0	0	0	0	0	x	******	******	4/21/1995	111	262199.5012	0	0	0	0	0	0	0	480287.2453	0	0	0	0	0	0	0	0	0	0
56.999	1529036.319	0	0	0	0	0	0	0	1323665.874	0	0	0	0	0	0	0	0	0	0	x	******	******	4/22/1995	112	473632.5599	0	0	0	0	0	0	0	394642.4218	0	0	0	0	0	0	0	0	0	0
